Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,6.750000,6.940000,6.750000,6.850000,2.597642,53700
2002-01-03,6.940000,7.050000,6.910000,6.990000,2.650732,102600
2002-01-04,6.900000,6.940000,6.830000,6.890000,2.612809,16400
2002-01-07,6.830000,6.830000,6.680000,6.730000,2.552135,22300
2002-01-08,6.810000,6.910000,6.780000,6.820000,2.586265,17000
2002-01-09,6.950000,6.990000,6.910000,6.960000,2.639355,30700
2002-01-10,6.960000,6.980000,6.910000,6.910000,2.620394,24000
2002-01-11,6.870000,6.890000,6.650000,6.840000,2.593849,18000
2002-01-14,6.690000,6.690000,6.430000,6.590000,2.499046,23500
2002-01-15,6.510000,6.600000,6.500000,6.500000,2.464916,30600
2002-01-16,6.500000,6.500000,6.350000,6.450000,2.445954,26700
2002-01-17,6.420000,6.570000,6.420000,6.500000,2.464916,46300
2002-01-18,6.500000,6.780000,6.460000,6.700000,2.540759,50400
2002-01-22,6.500000,6.590000,6.500000,6.510000,2.468708,12200
2002-01-23,6.460000,6.480000,6.310000,6.450000,2.445954,25500
2002-01-24,6.400000,6.440000,6.300000,6.350000,2.408033,40900
2002-01-25,6.320000,6.500000,6.320000,6.460000,2.449746,53200
2002-01-28,6.460000,6.580000,6.440000,6.480000,2.457330,27000
2002-01-29,6.550000,6.580000,6.350000,6.350000,2.408033,22800
2002-01-30,6.400000,6.400000,6.260000,6.380000,2.419410,36800
2002-01-31,6.400000,6.420000,6.240000,6.360000,2.411824,37500
2002-02-01,6.340000,6.490000,6.340000,6.450000,2.445954,54700
2002-02-04,6.490000,6.690000,6.450000,6.670000,2.529382,72100
2002-02-05,6.580000,6.600000,6.410000,6.490000,2.461122,84300
2002-02-06,6.400000,6.650000,6.400000,6.590000,2.499046,41600
2002-02-07,6.490000,6.530000,6.320000,6.370000,2.415617,51700
2002-02-08,6.350000,6.460000,6.300000,6.310000,2.392864,136200
2002-02-11,6.510000,6.570000,6.450000,6.570000,2.491460,328900
2002-02-12,6.510000,6.600000,6.470000,6.470000,2.453538,92200
2002-02-13,6.650000,6.750000,6.610000,6.740000,2.555927,42300
2002-02-14,6.760000,6.870000,6.760000,6.850000,2.597642,95600
2002-02-15,6.760000,6.890000,6.760000,6.870000,2.605226,81000
2002-02-19,6.740000,6.850000,6.730000,6.740000,2.555927,57100
2002-02-20,6.810000,6.810000,6.600000,6.700000,2.540759,28100
2002-02-21,6.720000,6.800000,6.650000,6.660000,2.525590,29500
2002-02-22,6.840000,6.960000,6.810000,6.870000,2.605226,30900
2002-02-25,6.890000,6.990000,6.890000,6.960000,2.639355,48500
2002-02-26,6.990000,7.000000,6.940000,7.000000,2.654524,30400
2002-02-27,7.050000,7.220000,7.020000,7.190000,2.726576,58500
2002-02-28,7.160000,7.230000,7.090000,7.140000,2.707614,64600
2002-03-01,7.100000,7.300000,7.100000,7.290000,2.764497,88600
2002-03-04,7.290000,7.400000,7.250000,7.260000,2.753120,42000
2002-03-05,7.260000,7.390000,7.260000,7.370000,2.794834,84400
2002-03-06,7.350000,7.390000,7.310000,7.360000,2.791042,92800
2002-03-07,7.470000,7.550000,7.470000,7.500000,2.844133,300400
2002-03-08,7.550000,7.600000,7.520000,7.550000,2.863093,230000
2002-03-11,7.580000,7.630000,7.500000,7.510000,2.847924,100800
2002-03-12,7.400000,7.550000,7.400000,7.500000,2.844133,82400
2002-03-13,7.500000,7.500000,7.350000,7.490000,2.840341,55600
2002-03-14,7.470000,7.550000,7.410000,7.490000,2.840341,94200
2002-03-15,7.550000,7.550000,7.400000,7.400000,2.806211,36800
2002-03-18,7.400000,7.490000,7.350000,7.470000,2.832756,18300
2002-03-19,7.600000,7.630000,7.570000,7.590000,2.878262,142100
2002-03-20,7.570000,7.600000,7.520000,7.570000,2.870678,93800
